mp-ids,K_VRH
mp-1008561,29.0
mp-1009077,177.0
mp-10142,296.0
mp-1014231,109.0
mp-1017507,89.0
mp-1017556,196.0
mp-1017985,111.0
mp-1018136,70.0
mp-1018148,107.0
mp-1018153,166.0
mp-1018647,91.0
mp-1018674,66.0
mp-1019359,80.0
mp-1024957,99.0
mp-1024990,248.0
mp-1024991,81.0
mp-1025105,87.0
mp-1025116,109.0
mp-1025123,209.0
mp-1025183,164.0
mp-1025185,12.0
mp-1025213,234.0
mp-1025311,199.0
mp-1025315,29.0
mp-1025338,26.0
mp-1029267,162.0
mp-1029349,69.0
mp-1029550,94.0
mp-1029655,57.0
mp-1029784,26.0
mp-1029799,73.0
mp-1029932,80.0
mp-1033,185.0
mp-10366,228.0
mp-10564,59.0
mp-10598,77.0
mp-10601,79.0
mp-10636,25.0
mp-10667,56.0
mp-10712,215.0
mp-10738,117.0
mp-10748,38.0
mp-1076,137.0
mp-10784,36.0
mp-1086,324.0
mp-10909,255.0
mp-1101,80.0
mp-1104,35.0
mp-11252,124.0
mp-11266,25.0
mp-11270,163.0
mp-11436,127.0
mp-11576,33.0
mp-11705,127.0
mp-11752,61.0
mp-1179,147.0
mp-11819,29.0
mp-11918,112.0
mp-11971,107.0
mp-12055,45.0
mp-12075,123.0
mp-12097,167.0
mp-12382,119.0
mp-12595,266.0
mp-12599,51.0
mp-12696,70.0
mp-12781,107.0
mp-13090,57.0
mp-13277,39.0
mp-1331,56.0
mp-13313,41.0
mp-134,83.0
mp-13453,162.0
mp-13660,45.0
mp-13682,22.0
mp-1383,230.0
mp-1385,53.0
mp-13903,23.0
mp-1391,74.0
mp-13914,152.0
mp-14039,54.0
mp-14208,62.0
mp-14285,163.0
mp-14336,15.0
mp-14827,82.0
mp-1495,197.0
mp-1502,129.0
mp-15178,126.0
mp-1542,164.0
mp-15556,10.0
mp-15783,41.0
mp-15985,133.0
mp-16263,49.0
mp-16266,55.0
mp-1635,41.0
mp-1652,139.0
mp-1696,110.0
mp-1699,186.0
mp-1730,31.0
mp-1738,71.0
mp-1786,139.0
mp-1793,106.0
mp-1851,133.0
mp-1866,25.0
mp-18759,127.0
mp-1883,40.0
mp-18878,96.0
mp-18918,142.0
mp-18971,190.0
mp-19118,114.0
mp-19149,100.0
mp-19276,56.0
mp-19281,165.0
mp-19299,181.0
mp-19331,175.0
mp-19443,197.0
mp-1969,97.0
mp-19729,61.0
mp-19773,80.0
mp-19817,77.0
mp-19824,78.0
mp-19962,93.0
mp-20064,68.0
mp-20255,148.0
mp-20340,111.0
mp-20463,68.0
mp-20469,34.0
mp-20492,148.0
mp-20536,127.0
mp-20541,207.0
mp-2059,162.0
mp-2068,54.0
mp-20697,135.0
mp-20949,165.0
mp-20956,132.0
mp-20987,64.0
mp-21022,67.0
mp-21124,53.0
mp-2123,173.0
mp-21313,208.0
mp-21381,59.0
mp-21415,113.0
mp-21471,68.0
mp-2183,98.0
mp-2201,47.0
mp-22204,228.0
mp-22598,145.0
mp-22660,109.0
mp-22682,95.0
mp-22779,81.0
mp-22877,10.0
mp-22964,80.0
mp-22996,9.0
mp-23004,13.0
mp-2302,231.0
mp-23021,12.0
mp-23068,18.0
mp-23177,12.0
mp-23189,1.0
mp-23247,5.0
mp-23267,4.0
mp-23280,1.0
mp-2331,295.0
mp-23804,79.0
mp-2390,48.0
mp-23956,23.0
mp-2399,65.0
mp-2418,23.0
mp-24237,97.0
mp-2426,61.0
mp-2459,39.0
mp-24658,73.0
mp-2474,62.0
mp-2489,188.0
mp-2499,34.0
mp-2512,151.0
mp-2540,254.0
mp-2547,53.0
mp-2647,105.0
mp-2652,138.0
mp-2715,132.0
mp-27175,119.0
mp-27255,25.0
mp-27367,7.0
mp-27393,20.0
mp-27579,46.0
mp-27606,110.0
mp-27638,14.0
mp-27835,13.0
mp-2807,98.0
mp-2815,26.0
mp-28150,88.0
mp-28395,199.0
mp-286,52.0
mp-28692,16.0
mp-28797,85.0
mp-28954,34.0
mp-29088,50.0
mp-29138,4.0
mp-29241,43.0
mp-29364,97.0
mp-29502,6.0
mp-29520,7.0
mp-29556,15.0
mp-29633,121.0
mp-29736,80.0
mp-29751,8.0
mp-2979,163.0
mp-29809,77.0
mp-29896,149.0
mp-30019,39.0
mp-30175,61.0
mp-30340,79.0
mp-30349,94.0
mp-30371,73.0
mp-30443,152.0
mp-30483,32.0
mp-30497,56.0
mp-3055,202.0
mp-30587,97.0
mp-30656,147.0
mp-30717,15.0
mp-30768,31.0
mp-30817,104.0
mp-30846,102.0
mp-30865,157.0
mp-30877,13.0
mp-31055,104.0
mp-31081,103.0
mp-31148,35.0
mp-31160,46.0
mp-31182,96.0
mp-31185,196.0
mp-31205,104.0
mp-31277,72.0
mp-3208,58.0
mp-3211,105.0
mp-3299,92.0
mp-335,42.0
mp-3390,117.0
mp-3405,153.0
mp-3532,64.0
mp-36111,55.0
mp-3677,173.0
mp-375,150.0
mp-3795,84.0
mp-3808,61.0
